le SAMU (service d'aide médicale d'urgence),emergency medical service
le SDF (sans domicile fixe),homeless person
la SNCF (société nationale des chemins de fer français),French national railway company
le TGV (train à grande vitesse),fast train
la TVA (taxe sur la valeur ajoutée),VAT,value added tax
le VTT (vélo tout terrain),mountain bike
l' abricot (m),apricot
aider,to help
l' alcool (m),alcohol
l' alimentation (f),food,dier
aller bien,to be well
aller mieux,to feel better
(s')arrêter,to stop
la baguette,French stick,baguette
la banane,banana
le beurre,butter
la bière,beer
le bifteck,steak
le biscuit,biscuit
le boeuf,beef
boire,to drink
le bol,bowl
le bonbon,sweet
le café,coffee
la carotte,carrot
les céréales (f),cereals
la cerise,cherry
le champignon,mushroom
les chips (m),crisps
le chocolat,chocolate
le chocolat chaud,hot chocolate
la chose,thing
le chou,cabbage
le chou-fleur,cauliflower
le cidre,cider
le citron,lemon
le coca,coke
le coeur,heart
le comprimé,tablet
la confiture,jam
le couteau,knife
la crème solaire,suncream,sun cream
la crêpe,pancake
le croissant,croissant
la cuillère,spoon
la cuisine,kitchen,cooking,cookery
dangereux,dangerous
le déjeuner,lunch
délicieux,delicious
le dîner,dinner
la drogue,drugs
se droguer,to take drugs
l' eau (f),water
l' eau minérale (f),mineral water
l'eau non potable,not drinking water
l' eau potable (f),drinking water
en bonne forme,in good shape
en bonne santé,in good health
l' envie (f) (avoir envie de),craving (to feel like)
équilibré,balanced
la faim,hunger
fatigant,tiring
fatigué,tired
fort,strong
la fourchette,fork
frais,fresh
la fraise,strawberry
la framboise,raspberry
les frites (f),chips
le fromage,cheese
les fruits de mer (m),seafood
fumer,to smoke

le gâteau,cake
le goût,taste
goûter,to taste
gras,fat
l' habitude (f),habit
le haricot vert,green bean
l' hôpital (m),hospital
l' hors-d'oeuvre (m),hors-d'oeuvre,starter
l' huile (f),oil
(s')inquiéter,to worry
le jambon,ham
le jus d'orange,orange juice
le jus de fruit,fruit juice
le lait,milk
le légume,vegetable
la limonade,lemonade
la liste,list
avoir mal,to be in pain
malade,ill
la maladie,illness
manger,to eat
le médecin,doctor
le médicament,medication
la nourriture,food
l' obésité (f),obesity
l' odeur (f),smell,odour
l' oeuf (m),egg
ordinaire,ordinary
le pain,bread
paresseux,lazy
le pâté,pâté
les pâtes (f),pasta
la pêche,peach
le petit déjeuner,breakfast
les petits pois (m),peas
la peur,fear
plein,full
la poire,pear
le poisson,fish
le poivre,pepper
la pomme,apple
la pomme de terre,potato
le porc,pork
le poulet,chicken
prendre,to take
le raisin,raisin
le régime,diet
se relaxer,to relax
le repas,meal
rester,to stay
le riz,rice
rôti,roast
sain,healthy
la salade,salad
sans,without
la santé,health
la saucisse,sausage

sauf,except
le sel,salt
se sentir,to feel
la soif,thirst
la soupe,soup
la spécialité,speciality
sucré,sweet
le sucre,sugar
surtout,especially
le tabac,tobacco
la tarte,tart,pie
le thé,tea
la tomate,tomato
tomber,to fall
tousser,to cough
la vanille,vanilla
végétarien,vegetarian
le verre,glass
la viande,meat
vide,empty
le vin,wine
la vitamine,vitamin
vivre,to live
le yaourt,yoghurt
l' adresse (f),address
l' adulte (m/f),adult
l' âge (m),age
aimable,kind ,likeable
aîné,older
l' ami/e (m/f),friend
amical,friendly
l' amour (m),love
l' anniversaire (m),birthday
l' annonce (f),announcement,advert
s'appeler,to be called
attendre,to wait
avoir seize ans,to be 16 years old,to be 16,to be sixteen
la barbe,beard
battre,to fight
bavard,chatty
bavarder,to chat
beau/belle,beautiful
le beau-frère,brother-in-law
le beau-père,father-in-law,stepfather
le bébé,baby
la belle-mère,mother-in-law,stepmother
la belle-soeur,sister-in-law
bête,silly,stupid
bouclé,curly
la carte d'identité,identity card
célèbre,famous
le chat,cat
cher,expensive,dear
le cheval,horse
les cheveux (m),hair
le chien,dog
le chômage,unemployment
le cochon d'Inde,guinea pig
connaître,to know someone
contribuer,to contribute


critiquer,to criticise
la dame,lady
la date de naissance,date of birth
le demi-frère,stepbrother,half-brother,half brother
la demi-soeur,stepsister,half-sister,half sister
se disputer,to argue
divorcé,divorced
écrire,to write
égoïste,selfish
l' enfant (m/f),child
s'entendre (avec),to get on (with)
fâché,angry
la famille,family

la fille,girl ,daughter
le fils,son
le frère,brother
le garçon,boy
les gens (m),people
gentil,kind,nice
la grand-mère,grandmother
le grand-père,grandfather
les grands-parents (m),grandparents
s'habituer à,to get used to
hésiter,to hesitate
heureux,happy
l' homme (m),man
l' identité (f),identity
il s'agit de,it's about,it concerns,it is about
jeune,young
joli,pretty
le lapin,rabbit
le lieu,place
loger,to stay,to live
les lunettes de soleil (f),sunglasses
madame,madam,mrs
mademoiselle,young lady,miss
malheureux,unhappy
la maman,mum
le mari,husband
marié,married
(se) marier,to get married
méchant,nasty,naughty
la mère,mother
monsieur,sir,mr 
la mort,death
la naissance,birth
la nationalité,nationality
né,born
le nez,nose
le nom (de famille),surname
l' oiseau (m),bird
l' oncle (m),uncle
le papa,dad
les parents (m),parents

le passeport,passport
pauvre,poor
le père,father
la personnalité,personality
la personne,person
les personnes défavorisées (f),disadvantaged people
le petit ami,boyfriend
la petite amie,girlfriend
pleurer,to cry
le poisson rouge,goldfish
poli,polite
porter,to wear
le prénom,first name
les rapports (m),relationships
refuser,to refuse
religieux,religious
remercier,to thank
le rendez-vous,meeting,appointment
respecter,to respect
la responsabilité,responsibility
riche,rich
rire,to laugh
sans travail,unemployed
la sécurité,safety,security
le sens de l'humour,sense of humour
séparé,separated
seul,alone
signer,to sign
la soeur,sister
le sondage,survey
sourire,to smile
la souris,mouse
sympa,nice
la tante,aunt
timide,shy
tranquille,quiet,calm,peaceful
triste,sad
le vandalisme,vandalism
la vérité,truth
vieux,old
le visage,face
le voisin,neighbour
accompagner,to accompany
l' achat (m),purchase
acheter,to buy
aller,to go
s'amuser,to have fun
à l'appareil (m),on the line,on the phone
l' appel (m),call
l' argent de poche (m),pocket money
l' avantage (m),advantage
le ballon,ball ,balloon
la bande dessinée,cartoon ,comic strip
la banque,bank
le basket,basketball
avoir besoin de,to need
le besoin,need
la bijouterie,jeweller's
le billet,ticket,banknote
le blouson,jacket
bon marché,cheap
la boucherie,butcher's
la boucle d'oreille,earring
la boulangerie,bakery
les boules (f),bowls
la boutique,boutique,shop
le cadeau,present
la caisse,checkout,till
la carte de crédit,credit card
la ceinture,belt
le centre commercial,shopping centre
le centre de sport,sports centre,sports center,leisure centre,leisure center
la chanson,song
chanter,to sing
le chanteur/la chanteuse,singer 

le chapeau,hat
la charcuterie,delicatessen,pork butcher
la chaussette,sock
la chaussure,shoe
la chemise,shirt
choisir,to choose
le choix,choice
le cinéma,cinema
le clavier,keyboard
le client,client
cliquer,to click
le coiffeur/la coiffeuse,hairdresser 

le coin,corner,area
la comédie,comedy
le concours,competition
la confiserie,sweet shop
la couleur,colour
courir,to run
la cravate,tie
le cyclisme,cycling
danser,to dance
démodé,old-fashioned,oldfashioned,old fashioned
dépenser,to spend
le désavantage,disadvantage
le dessin animé,cartoon
le disque compact,compact disk,compact disc,CD
le documentaire,documentary
donner,to give
échanger,to exchange
l' écran (m),screen

ensemble,together
l' entrée (f),entrance
envoyer,to send
l' épicerie (f),grocer's shop,greengrocer,grocer
l' équipe (f),team
l' équitation (f),horse riding
essayer,to try
faire des économies,to save up

être fana de,to be a fan of
le/la fana ,fan
favori,favourite
le feuilleton,TV serial
le film d'aventures,adventure film,adventure movie
le film d'horreur,horror film,horror movie
le film de guerre,war film,war movie
le film de science-fiction,science-fiction film,science fiction film,scifi film,sci-fi film,science-fiction movie,science fiction movie,scifi movie,sci-fi movie
le film policier,detective film,detective movie
le film romantique,romantic film,romantic movie
gagner,to win
le gant,glove
gratuit,free
le groupe,group
la guitare,guitar
la gymnastique,gymnastics
l' hypermarché (m),hypermarket
l' idée (f),idea
l' imper(méable) (m),raincoat
l' inconvénient (m),disadvantage,drawback
le jean,jeans

le jeu vidéo,video game
jouer,to play
le jouet,toy
le journal,newspaper
la jupe,skirt
laisser,to leave
le lecteur DVD,DVD player
le lecteur MP3,mp3 player
la lecture,reading
la librairie,bookshop
libre,free 
lire,to read
la livre sterling,pounds sterling
le magasin,shop
le maillot de bain,swimming costume,swimsuit

le manteau,coat
le maquillage,make-up,makeup,make up

le marché,market
le membre,member
mettre de l'argent à côté,to put money aside

la monnaie,change
la montre,watch

nager,to swim
la natation,swimming
le numéro (de téléphone),(phone) number
l' orchestre (m),orchestra
l' ordinateur (m),computer
la paire,pair
le pantalon,trousers
le parapluie,umbrella
le parfum,perfume


le patin à roulettes,roller skating
le patinage,ice-skating
patiner,to ice-skate
la patinoire,ice rink
la pâtisserie,cake shop
la pêche,fishing
la pièce,play
le pique-nique,picnic
la piscine,swimming pool
la planche à voile,windsurfing
la poche,pocket

le portefeuille,wallet
le porte-monnaie,purse
la poste,post office
pousser,to push
le prix,price
se promener,to go for a walk

le pull,jumper
le pyjama,pyjamas
le rayon,department (in department store)

réduit,reduced

regarder,to watch
remplir,to fill
(se) rencontrer,to meet
rentrer,to go home
retourner,to go back
le risque,risk
la robe,dress
le rouge à lèvres,lipstick
le sac (à main),(hand)bag
la sandale,sandal
sauter,to jump

la série,series
le shampooing,shampoo
le short,shorts
le site (aller sur un site),(to go on a website)
le skate,skateboarding
le ski nautique,waterskiing
les soldes (m),sales
la sortie,exit
sortir,to go out
sous-titré,subtitled
le spectateur,spectator
sportif,sporty
les sports d'hiver (m),winter sports
les sports nautiques (m),water sports
le stade,stadium
le supermarché,supermarket
le surf,surfing
le surf de neige,snowboarding
surfer,to surf
la surprise-partie,party
le sweat(shirt),sweatshirt
taper,to type
la technologie,technology
la télé(vision),TV (television)
le temps libre,free time
le texto,text (message)
le théâtre,theatre
tirer,to pull
toucher,to touch
la valeur,value
la vedette,star
vendre,to sell
venir,to come

la veste,jacket
les vêtements (m),clothes
la vitrine,shop window
la voile,sailing
voir,to see
le volley,volleyball
l' addition (f),bill
l' aéroport (m),airport

l' agence de voyages (f),travel agent's
l' air (m) (en plein),air (outdoors)


l' aller retour (m),return (ticket)
l' aller simple (m),single (ticket)


(s')approcher,to approach
l' arrivée (f),arrival
l' ascenseur (m),lift
l' assiette (f),plate
l' Atlantique (m),the Atlantic
l' auberge de jeunesse (f),youth hostel

l' auto (f),car
l' autobus (m),bus
l' autoroute (f),motorway
l' aventure (f),adventure
l' avion (m),aeroplane
les bagages (m),luggage
se baigner,to swim
le bain,bath
le balcon,balcony
le bateau,boat

la boisson,drink
le bord de la mer,seaside
se bronzer,to get a sun tan
le bureau des renseignements,information office
le camion,lorry

le car,coach
la caravane,caravan
le carrefour,crossroads

la carte postale,postcard
casser,to break

le château,castle
le chauffeur,driver
chercher,to look for

la classe,class
la colonie de vacances,holiday camp
commander,to order
composter,to validate (a ticket,e.g. at railway station)
compris,included
conduire,to drive
confirmer,to confirm
le confort,comfort
la consigne,left luggage lockers
la côte,coast
coûter,to cost
la demi-pension,half-board
le départ,departure
la différence,difference
différent,different
le dortoir,dormitory
la douane,customs
la douche,shower
Douvres,Dover
le drapeau,flag
durer,to last

Edimbourg,Edinburgh
l' employé(e) (m/f),employee

l' endroit (m),place
l' entrée (f),entrance

les Etats-Unis (m),the United States
l' étoile (f),star
l' étranger (m) (à l'étranger),foreigner (abroad)
expliquer,to explain
les feux rouges (m),traffic lights
la gare,railway station
la gare routière,bus station
(se) garer,to park
le gîte,gîte


l' horaire (m),timetable
l' hôtel (m),hotel




le lac,lake
le lavabo,wash basin
lentement,slowly
la ligne,route
la location (de voitures),(car) rental
le logement,accommodation
le loisir,leisure activity
Londres,London

la Manche,the (English) Channel
marcher,to walk

la Méditerranée,Mediterranean
même,same

la mer,sea
se mettre en route,to set off
mixte,mixed
la mobylette,moped
le monde,world
la moto,motorbike
l' office du tourisme (m),tourist information office
partager,to share
partir,to leave
le passager,passenger
le passant,passer-by
le pays,country

le péage,(motorway) toll
le permis (de conduire),(driving) licence
la pièce d'identité,identity card
le pied (à ...),(on) foot
le piéton,pedestrian
la piste,lane (e.g. cycle lane)
la plage,beach
le plan de ville,town map
le plat (du jour),dish (of the day)
le plat principal,main course


le pourboire,tip
pressé,in a hurry
prêt,ready
le projet,project
la promenade (faire une promenade),walk (to go for a walk)
le quai,platform/quay
quitter,to leave
la randonnée,hike
rapide,quick
recommander,to recommend
la région,region
les renseignements (m),information



revenir,to come back
le rond-point,roundabout
la rue,street
le sable,sand
le sac de couchage,sleeping bag
la saison,season
la salle d'attente,waiting room
la salle de bains,bathroom
le savon,soap

sens interdit,no entry
sens unique,one way
le service compris,service included
servir,to serve
la sortie (de secours),(emergency) exit
le spectacle,show
la station service,service station
stationner,to park

suivre,to follow

le syndicat d'initiative,tourist information office
le tarif (réduit),(reduced) price
la tasse,cup
la tente,tent
le tourisme,tourism

tourner,to turn

les vacances (f),holidays
la valise,suitcase
le véhicule,vehicle

visiter,to visit
la voiture,car
le vol,flight
voler,to fly
le voyage,journey
voyager,to travel
le voyageur,traveller
vraiment,really
la vue (de mer),(sea) view
l' appartement (m),flat
l' arbre (m),tree
l' armoire (f),wardrobe
l' arrêt (m) (d'autobus),(bus) stop
s'asseoir,to sit down
le bâtiment,building
la bibliothèque,library
la boîte de nuit,nightclub
la boum,party
le bowling,bowling
le bruit,noise
le bureau,office
calme,calm/quiet
la cave,cellar
la chaise,chair
le champ,field
la clé,key
le club des jeunes,youth club
le code postal,post code
la colline,hill
le commissariat,police station
confortable,comfortable
se coucher,to go to bed
le couloir,corridor
la cuisinière,cooker
déménager,to move house

dormir,to sleep
l' église (f),church

l' escalier (m),stairs
l' espace (m),space

faire du babysitting,to babysit
faire du jardinage,to do gardening
faire le ménage,to do housework
faire la vaisselle,to wash up
la fenêtre,window
la ferme,farm

le feu,fire
la fleur,flower
le four (à micro-ondes),(microwave) oven
le frigo,fridge
garder,to keep

habiter,to live
historique,historical
l' hôtel de ville (m),town hall
l' île (f),island
l' immeuble (m),building
l' industrie (f),industry
industriel,industrial
le jardin,garden
le jardin public,park
la lampe,lamp
le lave-vaisselle,dishwasher
laver (la voiture),to wash (the car)
se laver,to have a wash
se lever,to get up
le lit,bed
la mairie,town hall


le métro,underground
mettre,to put (on)
le meuble,piece of furniture
le miroir,mirror
la montagne,mountain

montrer,to show
le mur,wall
le musée,museum
nettoyer,to clean
Noël,Christmas
le Nouvel An,New Year
Pâques,Easter
le parc,park
le parking,car park
la pelouse,lawn
la pièce,room
le placard,cupboard
la place,square (e.g. town square)
le plafond,ceiling
la plante,plant
le pont,bridge
la porte (d'entrée),(front) door
privé,private

le réveil,alarm clock
se réveiller,to wake up
le rez-de-chaussée,ground floor
le rideau,curtain
la rivière,river
la Saint-Valentin,Valentine's Day
la salle à manger,dining room
la salle de séjour,living room
le salon,lounge
la serviette,towel
le sous-sol,basement
le tableau,picture
le tapis,carpet
le téléphone,telephone
téléphoner,to phone
le terrain de camping,campsite
le terrain de sport,sports ground
la terrasse,terrace
le toit,roof
le trottoir,pavement
trouver,to find
se trouver,to be situated
l' usine (f),factory
la vache,cow
le vestibule,hall
la vie,life
la boîte (en carton),(cardboard) box
le centre de recyclage,recycling centre
la circulation,traffic
cultiver,to grow
les déchets (m),rubbish
l' environnement (m),environment
jeter,to throw (away)
le pétrole,oil

pollué,polluted
la poubelle,dustbin
le problème,problem
propre,clean
protéger,to protect
recyclable,recyclable
recycler,to recycle
le sac en plastique,plastic bag
sale,dirty
sans plomb,unleaded
sauver,to save
les transports en commun (m),public transport
la zone (piétonne),(pedestrian) zone

apprendre,to learn
l' apprenti/e (m/f),apprentice
l' apprentissage (m),apprenticeship
le bac,A-levels (French equivalent of)
la biologie,biology
le cahier,exercise book
la calculatrice,calculator
la carrière,career
la chimie,chemistry
le collège,secondary school

comprendre,to understand
copier,to copy
la cour,playground
le cours,lesson
le crayon,pencil

demander,to ask

dessiner,to draw
le détail,detail
détester,to hate
devoir,to have to
les devoirs (m),homework
le dictionnaire,dictionary

la difficulté,difficulty
le directeur,headmaster
la directrice,headmistress

le droit,right
l' échange (m),exchange

écouter,to listen
l' élève (m/f),pupil
l' emploi du temps (m),timetable
en première,in Year 12
en seconde,in Year 11
en sixième,in Year 7
en terminale,in Year 13
encourager,to encourage
les études (f),studies
l' étudiant/e (m/f),student
étudier,to study
l' examen (m),exam
l' exemple (m),example
facile,easy

finir,to finish
le français,French
la géographie,geography
l' histoire (f),history
l' informatique (f),ICT

I' instituteur (m),primary school teacher (male)
l' institutrice (f),primary school teacher (female)
le laboratoire,laboratory
la langue,language
la leçon,lesson
le livre,book

les math(s) (f),maths
les mathématiques (f),mathematics
la matière,subject
le mot,word
la note,mark
organiser,to organise
oublier,to forget

passer,to take (e.g. an exam)
la pause,break
penser,to think
perdre,to lose
la photocopie,photocopy
la physique,physics

pouvoir,to be able to,can

le professeur,teacher
la récréation,break


la rentrée,back to school
répéter,to repeat
répondre,to answer
la réponse,answer
le résultat,result
réviser,to revise
la salle de classe,classroom
savoir,to know

le stylo,pen
le tableau (blanc interactif),(interactive white)board
travailler,to work
travailleur,hard-working
le trimestre,term
l' uniforme (m),uniform
l' université (f),university
utiliser,to use
le vocabulaire,vocabulary
I' acteur (m),actor
l' actrice (f),actress
l' avenir (m),future
bien payé,well paid
la boîte aux lettres,postbox
le boucher,butcher
le boulanger,baker

le caissier,checkout operator (male)
la caissière,checkout operator (female)

certainement,most probably
le certificat,certificate


la conférence,lecture
décider,to decide
devenir,to become

le docteur,doctor
l' électricien (m),electrician
l' emploi (m),job
l' entreprise (f),company
l' enveloppe (f),envelope
l' épicier (m),grocer
le facteur,postman
le fermier,farmer
le formulaire,form
l' hôtesse de l'air (f),air hostess
l' infirmier (m),nurse (male)
l' infirmière (f),nurse (female)
l' ingénieur (m),engineer
la lettre,letter
livrer,to deliver
mal payé,badly paid
le mécanicien,mechanic
le musicien,musician

le patron,boss
le plombier,plumber
le policier,police officer
le programmeur,programmer

se rappeler,to remember
le rêve,dream
le salaire,salary

le serveur,waiter
la serveuse,waitress
le stage,training course
stage en entreprise,work experience
le technicien,technician
le timbre,stamp
le travail,work
varié,varied
le vendeur,shop assistant (male)
la vendeuse,shop assistant (female)
à la carte,à la carte (from the menu)
à peine,hardly
à point,medium rare
accro,addicted
l' activité physique (f),physical activity
l' agneau (m),lamb
l' ail (m),garlic
alcoolique,alcoholic (e.g. person)
alcoolisé,alcoholic (e.g. drink)
l' alcoolisme (m),alcoholism
l' alimentation saine (f),healthy diet
amer,bitter
l' ananas (m),pineapple
l' apéritif (m),aperitif

bien cuit,well cooked
le canard,duck
le casse-croûte,snack
la casserole,saucepan
le concombre,cucumber

la crevette,prawn
la crise cardiaque,heart attack
cru,raw
les crudités (f),assorted raw vegetables
dégoûtant,disgusting
la dégustation,tasting/enjoyment (of food)
désintoxiquer,to treat for alcoholism or drug addiction
se détendre,to relax
la douleur,pain
